"text","valence","dominance","arousal"
"It is not only the highest grossing non-music documentary of all time, among the users of the largest Internet film database, IMDB, it is also the highest rated one.",1,1,1
"According to the LA Times, the documentary genre ""owes a huge debt to Michael Moore"" -- after Bowling's success, films like ""Spellbound"" and ""Capturing the Friedmans"" were taken seriously and shown in many more theatres than otherwise likely.",1,1,NA
"But perhaps the campaign against Moore is really motivated by another reason.",NA,0,1
"His next project has the working title ""Fahrenheit 9/11: The temperature at which freedom burns"", and he intends to launch it shortly before the next US presidential election.",1,1,1
"It is unlikely, however, that the unfair attacks against him will have much of an impact.",0,0,0
"After all, the same kind of PR blitz was started against the previous record-holding documentary: ""Roger & Me"" by Michael Moore.",0,NA,0
"This text is in the public domain.",NA,0,0
"Moore's hypothesis (which apparently comes at least in part from the book ""Culture of Fear"" by Barry Glassner, also advertised on Moore's website) is that the constant bombardment with messages of fear can incite paranoia, which itself can lead to violent acts.",0,1,NA
"Critics have now gone so far as to call for the revocation of the award.",0,0,NA
"This is consistent with the kind of media-incited violence described above, and in no relationship whatsoever to the theory of video game or music incited violence.",0,1,1
"It is no surprise, however, that US (and European) media do not question their own propaganda of fear.",0,1,1
"Moore's second hypothesis is that America's foreign policy may contribute to the belief that violence is an appropriate means to solve conflicts, a hypothesis which is shared by many sociologists and psychologists.",NA,1,NA
"Children who grow up in war-torn regions are known for having similar views -- war is perceived as a normal part of existence, violence as a natural way to solve disputes.",0,1,NA
"Their chances are small, however, as their arguments rely on polemic, exaggeration and misrepresentation -- in other words, on the same techniques which they accuse Moore of using.",0,0,NA
"In a weaker sense, the same message is projected to American children, who grow up being told that it is not acceptable to be violent to one another, but who simultaneously have to endure corporal punishment and media messages about how ""the enemies of freedom"" are punished.",0,NA,NA
"Moore's film was made before the dead bodies of Qusay and Uday Hussein were paraded on national TV.",0,0,0
"Americans were gloating over this demented corpse show:",0,NA,1
"""They squealed like little piggies too, so you'll have to make do with 'oink, oink, squeeeeeeeallll' for their last words.",0,1,NA
"'oink, oink, squeeeeeeeallll'",1,1,1
"That goes for your grandson Mustafa too, by the way.",NA,1,0
"Still think fucking with the U.S. was a good idea, Sammy?""",0,1,1
"Mustafa was 14 years when he was killed.",0,0,NA
"Americans cheer the killing of children, yet wonder why their own children grow up to be more violent than those in other nations.",0,1,NA
"It is paradoxical notions like this one which Moore's film seeks to address.",0,0,NA
"Inaccuracies",NA,0,0
"Your webpage list a number of alleged inaccuracies in Moore's movies.",0,NA,1
"It is true that Moore's film is sometimes unintentionally deceptive, but to call it fraudulent is hyperbole to the extreme.",0,0,NA
"It is no more so than any other successful documentary of the last decades.",NA,0,0
"Let's look at some specific criticisms:",NA,0,0
"1) The bank scene, listed on your website on a separate page.",NA,NA,0
"Critics have stated that this scene was ""staged"", but in the bank interview, the official tells Moore that the bank has its own vault storing about 500 weapons at any given time.",NA,1,NA
"It is also a licensed firearms dealer which can perform its own background checks.",NA,NA,NA
"In an interview with the Wall Street Journal, linked from your site, an employee claims that the gun would have been ""normally"" picked up at another dealer.",NA,1,NA
"Dear David Hardy,",NA,NA,0
"It is not explained what ""normally"" is supposed to mean, but that claim flatly contradicts the statement of the bank official in the film.",0,0,NA
"This sounds more like a later correction for public relations purposes, but of course nobody questions the bank claims when they can be used against Moore.",0,NA,0
"It is fascinating to watch the organized character assassination of Michael Moore that has been going on in the United States since the release of his last documentary.",1,0,1
"The only thing that Moore compressed is the timeframe.",NA,1,0
"According to the same WSJ interview, ""Typically, you're looking at a week to 10 days waiting period.""",0,0,0
"""Typically, you're looking at a week to 10 days waiting period.""",0,0,NA
"This is plausible -- but entirely irrelevant for the movie, which already makes it quite clear that a background check is being performed.",0,NA,0
"Moore's detractors have sometimes extended those 7-10 days to several weeks, contradicting the bank's own estimate.",NA,NA,NA
"There is nothing inaccurate whatsoever about the bank scene.",NA,1,NA
"The bank does exactly what it advertises: It hands out guns from its vault to those who open an account.",0,NA,1
"The silly criticisms of the scene obscure the real obscenity of the situation: a bank handing out guns to its customers, higlighting the utter laxness of how Americans deal with deadly weapons and a love of firearms that borders on the religious.",0,1,1
"2) The Lockheed-Martin interview.",NA,NA,0
"This is perhaps the criticism repeated the most often, and it also the most inaccurate.",0,NA,NA
"First, the actual quotes from the film are often reproduced incorrectly.",0,0,0
"The dialogue goes as follows:",NA,NA,0
"A defense of Michael Moore and ""Bowling for Columbine""",0,0,0
"""So you don't think our kids say to themselves, gee, dad goes off to the factory every day - he builds missiles.",0,1,1
"These are weapons of mass destruction.",0,1,1
"What's the difference between that mass destruction and the mass destruction over at Columbine High School?""",0,NA,1
"""I guess I don't see that specific connection because the missiles that you're talking about were built and designed to defend us from somebody else who would be aggressors against us.""",0,1,1
"In a time of simple-minded patriotism, loud, clear and dissenting voices like Mr. Moore's are perceived as disturbing and have to be silenced, partially through well funded public relations campaigns, partially through conservative ""grass-roots"" propaganda.",0,0,1
"Moore is not from Colorado -- his question is generic, not meant to refer specifically to the Lockheed Martin plant in question.",0,1,0
"McCollum understands it this way -- otherwise he would protest against the plant being mischaracterized.",0,1,1
"However, critics of Moore have cleverly ignored McCollum's response and presented Moore as spreading lies about the Lockheed plant.",0,1,NA
"Even Lockheed did not believe the public to be that gullible.",NA,NA,NA
"In response to one Moore detractor, McCollum wrote: ""Although other units of Lockheed Martin Corporation elsewhere in the country produce weapons to support the defense of the U.S., we make no weapons at the Littleton-area facility Moore visited.""",1,1,0
"""Although other units of Lockheed Martin Corporation elsewhere in the country produce weapons to support the defense of the U.S., we make no weapons at the Littleton-area facility Moore visited.""",NA,0,0
"Of course, critics have conveniently ignored the fact that Lockheed Martin does supply weapons of mass destruction to the US military, and that the company is the nation's largest military contractor.",0,0,1
"As Moore correctly points out, it is bizarre for a society to openly embrace the production of destructive weapons, but on the other hand see no connection of this to everyday violence -- children learn by imitating adults.",0,1,1
"Yes, Moore makes this point through slight exaggeration by moving with the camera through the LM plant -- but he makes no incorrect statement.",NA,1,NA
"It is typical for his critics to jump on what is at most a slightly misleading implication, but in doing so, they themselves have, unlike Moore, made many incorrect claims.",0,1,NA
"3) Denver NRA meeting.",NA,NA,NA
"Critics like yourself claim that Moore has massively distorted evidence to support his point that Charlton Heston has effectively insulted the victims of the Columbine tragedy by holding a rally in Denver shortly afterwards.",0,1,1
"First, the ""from my cold, dead hands"" part: This is used by Moore as a visual citation to introduce Heston.",0,1,NA
"It is perhaps one of his most famous quotes, shown on national TV even here in Germany.",1,1,0
"It tells viewers: Aha, this is the person we are talking about.",1,1,NA
"It is Moore's way to say: Viewers, meet Charlton Heston, gun nut extraordinaire.",NA,1,1
"The ""visual of a billboard and a narration"" is viewed by you as evidence that Moore is trying to somehow tie the two events together, when in reality, it is quite obvious that he does it to separate the introduction of Heston from his speech in Denver.",0,1,0
"If you do have something better to do, though, by all means do it .",0,1,NA
"Why is someone so young not having fun with friends on a Friday night.",0,0,NA
"Granted grading papers is important, but no fun makes for a boring life.",0,NA,0
"I should know.",NA,NA,NA
"since, when I was your age I had fun playing with my adorable son and caring for another baby.",1,1,1
"You need to try to have a life outside your computer.",NA,1,0
"Just saying....it seems I have more life now then you have and we know how little I get out!",0,1,1
"The one that really stuck in my mind was explaining transitions in the panels of Watchmen .",1,1,NA
"I'd read Watchmen a short while before and appreciated its narrative complexity, but not being used to reading comics, hadn't registered all the technical tricks that the artist was using to achieve this.",1,NA,NA
"The post not only taught me something about the grammar of such images, but more importantly led to me realising that there is a grammar to look for in the first place.",1,NA,NA
"So thanks a lot for that one.",1,NA,1
"SEK, I started going through your back posts and noticed a pattern in my selections, so I think it would be easier (for me, because I'm rubbish with html) to just say all the scene analysis posts and the close reading comics posts, like the one Magistra mentioned and many others after that.",1,NA,0
"Plus Justifying Comics as a Legitimate Object of Study Parts I & II.",NA,NA,NA
"I also liked ""Teaching the Overdetermined Image.",1,NA,NA
"Your takedown of Cashill and the whole Ayers-wrote-Dreams was excellent, and the Cruel_cruel_death post (you know what I'm talking about, right?",1,1,1
"Also, The Day in Actual Communist and Real Nazi History seems as relevant today as ever.",0,NA,NA
"Agree with the previous two comments.",1,0,0
"I don't remember if you've made noises here before about turning these into a book, but if you do you've got at least one reader.",1,1,1
"What happened to your post that appeared in my RSS reader yesterday?",NA,NA,NA
"Would it be possible to arrange your posts into three 'parties', and give your many readers the opportunity to 'vote' for one of them, by 'secret ballot'?",NA,NA,0
"I feel your British readers would appreciate that.",1,1,1
"However, when I started looking through my archives, it occurred to me that my output this year defines me much more sharply than in years past.",1,1,1
"I can't believe I wrote all that last year.",1,NA,1
"What do I mean?",NA,0,NA
"The posts I consider foundational to my current professional identity all seem to have been composed in 2009.",NA,NA,NA
"Granted, the likelihood that I'm suffering from the identitarian equivalent of presentism is awfully high, but I honestly thought I'd written some of the posts from early 2009 in 2006 or so.",0,0,0
"It may also be that I remember the scene of their writing, which would have been in the old apartment, i.e. the place I barely remember ever having lived in anymore.",NA,0,NA
"Because I've been grading all damn day and am as tired as a Swearengen of hearing other about the finished semesters of pretty much every other academic blogger, I thought that it might be best to avoid jealously lashing out and scribble a ""Best of Acephalous 2009"" post.",0,1,1
"If you have absolutely nothing better to do on a Friday night, feel free to scan through my 2009 archives and tell me what you think should be included in the ""Best of"" post.",NA,1,NA
"I noted on Facebook that, from a statistical perspective, what makes baseball such an amazing sport is that you can watch it your entire life and still see, on a daily basis, something you’ve never seen before.",1,1,1
"The fact that I can verify vague memories of events that occurred twenty-five years ago astounds me in a way I sometimes forget the Internet is capable of doing.",1,1,1
"This realization is obviously not of world-historical importance, merely a reminder that this thing whose existence we take for granted daily represents a fundamentally weird complement to human memory.",NA,NA,NA
"The fact that at some point in the future I can know who I rode in an elevator with on 28 December 2005 is less weird because I chose to write about riding in an elevator with Grimace .",0,NA,NA
"That I can access detailed information about events I have no right remembering in detail is another matter entirely.",1,1,1
"Joe Sambito.",NA,NA,NA
"Wow.",1,NA,1
"I'd completely forgotten about him.",0,1,NA
"I sometimes wish I could forget that Pendelton is the Braves hitting coach.",0,1,0
"Closest I came to that was watching Dale Murphy get tagged out at the plate on what would have been an inside-the-park slam.",NA,NA,NA
"He pitched for the Astros before he came to the Mets, stayed for '85, then he pitched for the Red Sox against the Mets in '86 World Series.",NA,NA,NA
"I remember him being ineffective, and as it turns out, he was .",0,NA,NA
"Now that I remember him, which I didn't before, I remember him as being the pitcher who'd pitched for 1) the team the Mets faced to get to the '86 Series and 2) the one they faced in it.",NA,NA,NA
"I didn't remember that I remember that, but now that I do, I do.",1,NA,NA
"Memory, as Gertrude Stein would say, is funny.",1,NA,NA
"Apparently the drug use, sexual excess, and weird UCI experiences haven't softened your brain yet.",0,1,1
"What's really bothersome, though, is when you only remember things from your distant past.",0,0,0
"My grandpa was alert till the end, but when I last saw him at age 92 everything he wanted to talk about was 70 years in the past.",0,0,0
"The Internet occasionally reminds me of how different life is because of it.",0,NA,NA
"A guess, but perhaps your grandfather's life at 22 was more interesting than the ensuing 70 yrs.",NA,1,0
"It’s a truism, I know, but it has the benefit of actually being true.",1,1,0
"You know what makes this post great?",1,0,NA
"No stinking cricket.",0,1,1
"Yeah, I remember Sambito from the Astros (when the Braves were in the old NL West because it made sense to have a team 3,000 miles from most of their division rivals).",NA,NA,NA
"Solid pitcher for a while.",1,1,NA
"But burned out toward the end.",0,0,0
"Apparently, he is a player's representative now.",NA,NA,0
"Prosthetic memory.",0,0,NA
"I like to read about others watching baseball more than I like to watch baseball by a factor of nine.",1,NA,0
"Having given up on watching the actual sport, mention of baseball now only sparks memories of The Old Man and the Sea and the old time baseball writers.",1,NA,0
"In this case, the something in question was watching the wonderfully named Angel Pagan hit an inside-the-park home run and initiate a triple play in the same game.",1,NA,1
"It is true that at the end of time, the old time baseball writers will be hailed as the very best writers, as they had access to an event that was susceptible to beautiful writing, but horrendous to watch in person.",1,1,1
"Plus, they smoked a prodigious quantity of cigarettes.",0,0,1
"nota bene: An overdue library book is a crime against Humanities.",0,1,1
"John Emerson responded with some humbug about it not being an inside-the-park grand slam, which made me remember that I had seen an inside-the-park grand slam at some time in the remote past.",0,1,0
"I remember being six or seven years old and watching the Mets play the Cardinals in an afternoon game at Shea Stadium, and thanks to the miracle of the Internet, I can definitively say that at approximately 4:30 p.m. on 9 June 1985 , I watched Terry Pendleton hit an inside-the-park grand slam off Joe Sambito in a game the Cardinals would go on to win handily.",1,NA,1
"Diagram of the polarization-opponent unit described by Lambrinos, et al (2000).",NA,NA,0
"The unit takes in polarization levels through the two polarization-sensitive photodiodes and feeds them into the logarithm ratio amplifier, which returns the difference of the logarithmized signals from the photodiodes.",0,1,0
"The e-vector (heading) returned from the two polarization-sensitive photodiodes (1, 2) follows a cos2-function.",NA,NA,NA
"Ants themselves rely primarily on chemical information taken in through their antennae, and to mimic this, Antie will have chemical sensing and emitting “stalks” with which to both interact with other ants (who may be surprised to find an ant without antennae) and take in chemical information.",NA,NA,NA
"These stalks will need to have receptors to measure the n-alkene levels present in another ant’s cuticular hydrocarbons, which research indicates is the marker for harvester ants of a nestmate’s current task, perhaps because the hydrocarbons are altered in the dry sun, causing a different ratio of n-alkanes to n-alkenes and the presence of branched n-alkanes in the hydrocarbon profile (Wagner, et al, 2001, as cited in Gordon & Greene, 2003).",NA,1,NA
"Antie’s stalks would also have receptors for the hydrocarbons themselves, which research shows indicate to the ants whether another ant is their nestmate (Arnold, et al, 1996, as cited in Gordon & Mehdiabadi, 1999), receptors to detect food, and receptors for three types of pheromones: those released by successful foragers returning with food, those released by successful patrollers returning to the nest, and those marking piles of trash as midden.",NA,NA,0
"Such a robot would allow for both long-term studies of ant-robot interactions and studies of task-switching in the robots.",1,NA,1
"Returning successful patrollers have an even greater effect on foraging activity: foragers will not leave the nest unless a patroller returns (Gordon, 2002), and the rate of foraging in a colony can be controlled by rolling glass beads coated with cuticular hydrocarbons extracted from patrollers into the nest (Gordon & Greene, 2003; Greene & Gordon, 2007).",1,1,0
"Midden seems to be marked in some olfactory way, since removing midden from nests makes them more likely to be invaded by other species (Gordon, 35).",0,NA,0
"For the purposes of this proposal, I will assume that the nest maintenance and food processing ants have marked the midden with a particular pheromone.",NA,NA,0
"All of these chemical receptors will be arranged in an array on a pair of chemical stalks, with four of each type of receptor per stalk.",NA,1,0
"I propose here the theoretical construction and programming of a robot (hereafter referred to as Antie) that will be able to infiltrate a red harvester ant nest, switching between the foraging, patrolling and midden work behaviors.",NA,NA,1
"This technique, described by Ishida, et al (2001), has been shown to improve the chemical plume-tracking abilities of robots.",NA,NA,0
"The wires will lead back down through the stalk to the on-board PC.",NA,1,0
"Finally, Antie will have tactile sensors on its grippers to analyze the pressure being exerted on a gripped object.",1,1,NA
"These sensors will be of the type patented by Peterson, et al (Patent #4,492,949), and will feature several layers of electrically insulating and parallel flexible conductive rods arranged such that an exerted pressure may be measured in output voltage.",1,NA,0
"These will correspond to the muscles of the ant’s mandibles, which provide sensorimotor feedback to the ant when grasping objects.",NA,1,0
"A table of the sensors and their relation to the ant’s sensory system is provided below.",1,NA,NA
"Table of sensors and their relations to the ant.",NA,NA,0
"The red harvester ant lives in hot, dry deserts, building its nests in light yellowy sand and foraging for seeds deposited by winds and rain.",NA,NA,0
"The ants forage for more than 30 different varieties of seeds, many of which do not grow in the desert (Gordon, 54), where only a few varieties of small shrubs, small herbaceous flowering plants and short grasses do grow (Gordon, 51).",1,1,0
"Introduction",NA,NA,0
"Motors",NA,1,0
"Antie’s motors will allow it to move around and interact with its environment and fellow ants.",1,NA,0
"There will be two individually operated motors to drive the two side wheels in lieu of legs.",NA,1,NA
"Two simultaneously operated motors will open and close the grippers, emulating the grasping power of the ant’s mandibles.",NA,NA,NA
"A third motor will lift and lower the grippers, allowing Antie to raise and lower gripped items as an ant would by raising and lowering its head.",1,1,1
"Three small sprayers will emit successful patroller and forager pheromones and cuticular hydrocarbons from the appropriate sacs.",NA,NA,NA
"These will be located in different places: the sprayer for the successful patroller pheromone will be located on the rear at the base of Antie, corresponding to the glands that researchers believe the ants drag along behind them to mark returning paths, while the successful forager and cuticular hydrocarbon sprayers will be located on the skirt.",NA,NA,0
"Antie will not spray different pheromones depending on its task, on the assumption that its time in the sun will alter its hydrocarbons enough that its tasks will be recognizable to other ants.",1,1,0
"Other insects and creatures, including other species of ants, are present in the desert, but red harvester ants seem to be relatively undisturbed by these animals (Gordon, 7-11).",NA,NA,0
"Almost all motor output will be a direct function of sensory input as indicated in the following section.",NA,0,0
"The Behavior",NA,NA,0
"Antie will have a hybrid software architecture: a subsumption hierarchy will be responsible for switching between behaviors, but many sub-behaviors will operate on a schema basis.",NA,NA,1
"Pseudocode will approximate this architecture as closely as possible, and where appropriate, different subroutines running on a schema basis will be marked.",1,NA,0
"Common Behaviors",NA,NA,NA
"A few sub-behaviors will be necessary for more than one behavior.",NA,NA,0
"To ease Antie’s on-board memory requirements and processing capabilities (and to make all the rest of the pseudocode easier for the reader to understand), I propose a few global variables and subroutines.",1,1,0
"The following global variables will be used throughout the pseudocode, and are compiled here for ease of reference:",NA,NA,0
"Though fights sometimes do break out with other red harvester ants from different nests, intraspecies interactions tend not to be aggressive (Gordon, 11).",NA,NA,1
"Background",NA,0,0
"Because of this, I will ignore other ant species in the design of Antie, and will not create a fighting behavior.",NA,0,0
"Common behaviors will include a forward cruise and turning mechanism, procedures to determine the orientation towards nest and the distance from the nest when outside, in-nest navigation, an escape function for when objects are detected or bumped into, object identification and gripping, a generic algorithm for pheromone plume and chemical trail following, and the identification of other ants.",NA,NA,0
"Science fiction writers have been anticipating humanoid androids that could pass a Turing Test for years.",1,NA,NA
"For a simple start, the forward cruise function will merely take in a double integer representing a speed and cause Antie to move forward at this speed.",NA,1,NA
"Antie will be equipped to navigate in this environment and will be designed to find seeds in sandy soil.",NA,1,NA
"The Ant & the Robot",NA,NA,0
"Ants of this species are of two types: breeding ants (queens and drones) and sterile female workers.",0,NA,NA
"These behaviors will often be used in other subroutines running on a schema basis, and when combined with the forward cruise function, should cause the robot to move at an angle.",NA,1,NA
"In order to orient itself toward the nest while navigating outside, Antie will need to determine which direction the nest is in and rotate toward that heading, and also how far from the nest it is at its current location.",NA,1,0
"The orientation and distance should be calculable by the polarization pattern according to the system set up by Lambrinos, et al.",NA,NA,0
"Antie will therefore have a polarization function that will return a compass direction toward which it should orient in order to return home to the nest, and a distance function that will return the shortest direct distance.",NA,1,0
"We may assume that this first function will return a direction in degrees, positive or negative, and that the second function will return a distance in centimeters.",1,NA,0
"Queens and drones will not be considered in this proposal, as their behaviors and design is much more specialized and would be applicable only during the breeding season, which occurs but once per year.",NA,NA,NA
"The first function might look something like this:",NA,NA,NA
"In-nest navigation will be a function of the temperature, read by Antie’s thermometer and a light source.",1,NA,0
"To exit, Antie will seek a high temperature until the photoreceptor reaches a threshold of stimulation indicating sunlight, and to get deeper, Antie will seek a lower temperature.",NA,0,0
"The code may look something like this:",NA,NA,NA
"The behaviors of the sterile workers may be divided into several subcategories: brood care, nest maintenance, patrolling and foraging.",NA,NA,0
"This void function will be called nestEnter(), and will take in no inputs.",NA,1,0
"To avoid bumping into things (including other ants), Antie be provided with an escape function.",NA,NA,0
"Each of Antie’s eight bump sensors will cause the robot to rotate a different amount, and the sonar will cause it to rotate 90 degrees in the opposite direction.",NA,NA,0
"Regardless, this will be a very simple function.",NA,1,NA
"I will include one example:",NA,1,NA
"Little is known about brood care, as this occurs only in the deepest regions of the nest and observation would generally require the destruction of the nest.",0,NA,0
"Because this function responds to the sensors on Antie’s around the sides and only its sonar detectors will be able to detect objects in front of it, this escape function will not prevent Antie from being able to locate and pick up objects such as seeds.",1,NA,0
"Before picking objects up, however, Antie will need to identify them.",NA,NA,NA
"This object detection process will be activated when the front bump sensor is stimulated or when both sonar detectors are stimulated.",1,1,NA
"Chemical inputs will be checked to see what this object is most likely to be given its smell.",NA,1,NA
"The code may look something like this:",NA,NA,0
"Nest maintenance and seed processing are likewise difficult to observe in the deeper regions of the nest, but the sorting and deposition of waste dirt and nest garbage outside of the nest (midden work) occurs close enough to the surface to be observable.",1,1,1
"Once the object has been identified, Antie may grip it and lift it.",NA,0,0
"A simple void function grip() taking in no inputs will tighten the grippers until a certain threshold of pressure is reached, at which point the grippers will be lifted for carrying.",NA,1,1
"A void function release() will perform this same action in reverse.",NA,0,0
"Antie will also need to follow several different kinds of chemical gradient trails: it will need to track the trails left by successful patrollers, and localize the source of food-odors and midden-odors.",1,1,NA
"Implementations of chemical gradient following robots using two sensors on “antennae” stalks has been successful in with analog robots in the past (Webb, 1998), regardless of the potential problem of airflow causing a disturbed gradient over evaporating pheromones.",NA,NA,0
"As a partial control for the problem of imprecise sensing, a function will perform an analysis of the array information coming on from Antie’s four sensors on each stalk.",NA,NA,NA
"The differences between these outputs is what is being compared everywhere there is a “left_IP” or “right_IP.”",NA,1,0
"Antie will use the chemical gradient algorithm of Braitenberg’s aggressive type 2 vehicle described in his book “Vehicles: Experiments in Synthetic Psychology,” as this was found through a series of experiments by Russell, et al (2003) to be very efficient when compared to several biomimetic models.",NA,NA,NA
"Because the same general algorithm will be followed for the localization of all three chemical traces, I will provide pseudocode for only one generic subroutine.",NA,1,0
"Note that a portion of this subroutine does run on a schema basis:",NA,NA,NA
"Patrolling and foraging, too, occur for the most part outside of the nest, and have therefore been studied extensively (ex., Schafer, et al, 2006; Gordon, et al, 2002; Gordon, 2002; Gordon, 1987).",NA,0,0
"Unfortunately, as of yet, no robot has managed to fool a human for more than a few seconds, and no robot has been created that can integrate itself into human society.",0,NA,0
"For the purposes of calls later in the pseudocode, I will refer to these subroutines as trailFollow(), findFood(), and findMidden().",0,NA,0
"All three are void and take no inputs.",0,NA,0
"The final common subroutine will be one for the identification of other ants.",1,0,0
"When both sonar sensors are stimulated simultaneously, Antie will check hydrocarbon inputs and determine whether the detected object is a nestmate.",NA,NA,NA
"As harvester ants tend not to engage aggressively with non-nestmates, Antie will only identify other ants as ants if they belong to its nest.",NA,NA,0
"Proposal for a Red Harvester Ant Robot: Colony Infiltration and Task Switching",NA,NA,0
"Antie will attempt to determine the tasks of other ants by sensing only the n-alkene levels.",NA,NA,NA
"The code will be similar to the object identification subroutine and may look something like this:",NA,0,0
"Using these basic common behaviors, more complex behaviors may be coded.",NA,NA,0
"Red harvester ants do not retain one task throughout their lifespan, but instead change their behaviors as is appropriate for the colony (Gordon, 1996).",1,NA,0
"Research has shown that red harvester ants switch tasks partially as a function of age (ex., Ingram, et al, 2005) and partially as a function of interactions with other workers (ex., Schafer et al, 2006; Gordon, 2002; Greene & Gordon, 2007).",1,0,0
"Younger ants work more inside the nest, and older ants work more outside the nest.",1,NA,0
"As a result, I will model the three main behaviors in the order that they are to be engaged in.",1,1,1
"Midden work, which consists of moving dirt between the inside of the nest and the outside, will occur first; patrolling, which involves a shorter overall amount of time spent outside, will occur second; and foraging will be the final behavior.",1,NA,NA
"Finally, I will discuss a main method encoding the task switching between these behaviors.",NA,1,0
"The midden work behavior will be Antie’s default initial behavior.",1,1,1
"It will be initiated in the morning by the sunrise, and will continue until the outside temperature reaches 52­­­oC, at which point all red harvester ants must return to the nest.",0,0,NA
"As previously stated, a midden worker must identify midden, grasp it, and carry it to the surface, depositing it halfway down the mound before returning to collect more midden.",0,NA,0
"A program encoding this behavior might look like this:",NA,0,0
"These three behaviors each present different puzzles to the ant and to the modeler, though there is some overlap, particularly with navigational problems.",0,1,1
"The second behavior, patrolling, involves two sub-behaviors: nest patrolling and trail patrolling.",NA,NA,0
"Nest patrolling will involve leaving the nest, roaming around on the nest mound for a few minutes, and reentering the nest.",1,NA,0
"This behavior will be implemented in two parts, with a task-switching algorithm based on age.",NA,1,1
"Research shows that ants do change their behaviors based partly on their perceived life expectancy (Moron, et al, 2007), and that task-switching is partly genetically controlled by a switch in gene expression as the individual ages (Ingram, et al, 2005).",0,1,0
"It is therefore reasonable to assign a constant age at which Antie will switch from nest patrolling to trail patrolling.",NA,NA,0
"In order to perform both of these functions, Antie will need a subroutine to explore in a zig-zag fashion, as harvester ants do (Gordon, 34).",0,NA,NA
"Harvester ants display a preference to wander in familiar territory, though foragers and patrollers do sometimes wander into other nests’ territories (Gordon, 57-60).",NA,NA,0
"In the case of midden work, Antie must be able to identify garbage, grasp it, carry it out of the nest, and deposit it about halfway down the mound before returning to repeat the process ad infinitum (or until stimulated to switch behaviors).",NA,NA,1
"To control for this behavior, Antie’s explore subroutine will display a preference for exploration in places where there is a low gradient of nestmate pheromones.",1,1,0
"This model is reasonable because patrollers and foragers change their explored territory from day to day, even though they do retain some more commonly chosen paths (Gordon, 45).",NA,0,0
"The code may look something like this:",NA,1,NA
"Patrolling may be divided into two distinct sub-behaviors, nest patrolling and trail patrolling.",NA,NA,NA
"Nest patrollers will only call this behavior for a short distance before returning to the nest to idle for a few minutes and exit again.",1,NA,0
"Trail patrollers will go much further, until food sources are found, and will then orient towards the nest and create trails for the foragers to follow.",NA,NA,NA
"An ant engaged in nest patrolling must exit the nest at the proper time in the morning and wander about for a bit on the nest mound, presumably taking measurements of the temperature and humidity in some way and making sure that it is safe for the other ants to exit.",NA,NA,NA
"A general site of food is all that the patroller need find; the foragers will dig through the sand for the food.",1,1,NA
"Code for the patrolling behavior might look like this (note that part is on a schema basis):",NA,NA,0
"The integers nestpatrol_age and trailpatrol_age will represent the ages at which it is appropriate to switch to these tasks.",0,NA,0
"Perhaps the level of degradation of the nest patrollers’ cuticular hydrocarbons after this short foray into the sun and heat acts as an indication of the outside conditions to the foragers, who may then, upon smelling the returning patroller, be stimulated either to forage or to remain inactive inside the nest.",NA,NA,NA
"The final behavior, foraging, will involve one extra subroutine that will employ an algorithm designed by R.",NA,1,0
"Andrew Russell to localize an object through sand based on a chemical plume.",NA,NA,0
"This will emulate the digging that foragers must often do in order to locate seeds, and will enable Antie to accurately retrieve seeds for its host nest.",NA,NA,NA
"This algorithm will keep track of the last two intensities of the desired chemical input and compare them.",NA,0,0
"It would also keep track of whether the last rotation was clockwise or counter-clockwise.",NA,0,0
"The code for this, adapted from Russell’s paper, might look like this:",NA,1,0
"Foragers will follow trails marked by patrollers to their conclusion before collecting food to bring back to the nest, even if more tantalizing food presents itself in their path (Gordon, 47).",NA,1,1
"To address this, a strict subsumption hierarchy will make sure that the foragers do not stop to collect food too soon.",NA,NA,0
"The code might look like this:",NA,NA,0
"An ant engaged in trail patrolling must exit the nest, wander around searching for food sources, identify food upon discovery and return to the nest to show the foragers where the food is.",1,1,1
"Of course, what makes Antie an innovative robot is the task-switching between these larger behaviors.",1,NA,0
"Because the midden work behavior is Antie’s initial default behavior, I will not address task switching to midden work.",0,1,0
"Workers probably switch to patrolling based on their perceived life expectancy and as a function of a gene whose expression changes between young and old ants, and this is easily emulated using a clock pulse counter in Antie’s CPU that will count its “age” since last boot.",NA,0,0
"To remind the reader, this technique was implemented earlier in this proposal to create the limited task-switching between nest patrolling and trail patrolling.",NA,NA,0
"The switch from patrolling to foraging has been modeled as a function of successful foragers’ returns with great accuracy by Schafer, et al (2006), and evidence from experiments in which successful foragers were removed before reentry to the nest does support the theory that returning successful foragers have an effect on the activation of new foragers (Gordon, 2002).",1,0,NA
"Infiltrating insect societies, however, is much simpler.",0,NA,0
"This is thought to be accomplished by the deposition of chemical markers from a gland on the abdomen that the patroller drags along the ground on her return route to the nest that the foragers may then follow (Gordon, 33-34; Holldobler et al, 1990, as cited in Webb, 1998).",NA,NA,NA
"Activated foragers form a queue to exit the nest and exit at a steady rate.",NA,1,0
"According to Schafer’s, et al. model of forager activation, every time a successful forager returns and no foragers are currently in line to exit, a fraction (modeled at 0.0035) of inactive foragers joins the queue.",NA,NA,0
"For the purposes of modeling Antie, I will assume that the switches between these behaviors are permanent, irreversible and partly a function of age, with new foragers being activated by returning successful foragers.",0,NA,0
"The code to model this task-switching might look something like this:",1,NA,0
